tax	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12	unclassified	total
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parainfluenzae	5352.0	2481.0	13876.0	48298.0	32728.0	22337.0	1438.0	126510.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula	54936.0	1886.0	1350.0	1638.0	1056.0	1484.0	1228.0	63578.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria subflava	173.0	12.0	11362.0	5380.0	14403.0	9606.0	507.0	41443.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae	174.0	12.0	16040.0	3706.0	9722.0	7758.0	500.0	37912.0
Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter showae	391.0	25297.0	216.0	1998.0	1595.0	1137.0	508.0	31142.0
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	2493.0	4458.0	6340.0	2444.0	3855.0	3653.0	1698.0	24941.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	7319.0	9432.0	268.0	1056.0	1681.0	1758.0	399.0	21913.0
Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga gingivalis	1809.0	11738.0	1080.0	346.0	1552.0	2139.0	299.0	18963.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria flavescens	60.0	4.0	4482.0	2801.0	6558.0	4651.0	260.0	18816.0
Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus	225.0	13.0	7733.0	1510.0	2328.0	1965.0	233.0	14007.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium pseudoperiodonticum	31.0	144.0	965.0	438.0	5399.0	6712.0	160.0	13849.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus	4.0	1.0	2.0	5.0	6103.0	5529.0	149.0	11793.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas pasteri	8.0	495.0	926.0	669.0	4139.0	4317.0	115.0	10669.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium polymorphum	162.0	8085.0	6.0	141.0	532.0	782.0	184.0	9892.0
